IDENT,PROBLEM,ACTION
105267,number 3 and 4 left-hand rocker covers are leaking.,removed and replaced gaskets with new.
105268,number 2 cylinder valve sticking.,"ran aircraft, operations and leak check good. cowled aircraft."
105269,number 2 cylinder valve sticking.,removed number 2 cylinder top plug and found valve contacted piston.
105270,number 2 cylinder valve sticking.,"removed number 2 cylinder baffling, intake, exhaust and oil return tube"
105271,"during climb out, left-hand engine shuttered 3 times. each time rpm","ran aircraft, could not duplicate. all checks good."
105272,number 2 baffle seal loose.,removed rivet and replaced with screw and lock nut.
105273,baffle plug is broken.,removed and replaced baffle plug.
105274,baffle seal on number 1 cylinder needs to be secured.,secured baffle seal with new rivets.
105275,number 3 intake leaking.,removed and replaced gasket.
105276,forward baffle cracked under the alternator.,stop drilled crack.
105277,right-hand rear engine baffle mount loose.,installed new screws and nut to secure baffle mount.
105278,number 4 intake leaking.,removed and replaced gasket.
105279,"when climbing, heard engine with some noise. engine made a thund","inspected engine, no defects. ran aircraft, all systems within normal manual"
105280,right-hand rear engine baffle screw loose.,tightened screw.
105281,number 2 intake tube leaking.,removed and replaced with new gasket.
105282,"after engine and rotor run up, rpm dropped 250","completed assembly of engine. ran up engine, operations and leak check"
105283,"after engine and rotor run up, rpm dropped 250","performed lycoming, found number 2, and number 4 exhaust valve guides"
105284,"right-hand engine baffle seal loose, above number 4 cylinder.",resecured baffle seal.
105285,"left-hand engine, cylinder number 2 intake gasket is leaking.",removed and replaced gasket with new.
105286,number 1 and number 4 intakes leaking.,replaced gaskets.
105287,black forward lower engine seal worn at air intake filter.,applied rtv to forward lower baffle seal.
105288,right-hand engine number 1 intake is leaking.,removed and replaced gasket.
105289,number 4 intake gasket leaks.,removed and replaced gasket.
105290,number 3 intake tube gasket leaking.,removed and replaced intake gasket with new.
105291,number 4 cylinder baffle plug tabs broken.,removed and replaced plug.
105292,both baffle plugs damaged.,removed and replaced plugs.
105293,aircraft needs after storage run.,"ran aircraft, all checks good."
105294,aircraft after storage run needed.,"ran aircraft, all checks good."
105295,"during flight, high oil psi occurred. when exercise propeller, oil psi occurred. when exercise propeller","ran aircraft, operations check good."
105296,right-hand engine number 4 aft baffle seal loose.,installed washer and rivet.
105297,right-hand engine number 1 side baffle seal worn.,removed and replaced baffle seal with new.
105298,baffle plugs worn.,removed and replaced plugs.
105299,alternate air door spring is weak.,replaced air intake assembly.
105300,number 3 rocker cover leaking.,removed and replaced rocker cover gasket.
105301,baffle plugs worn.,removed and replaced both baffle plugs.
105302,"number 4 intake leaking, right-hand engine.",replaced gasket.
105303,low compression 40 out of 80 on number 3 cylinder. air leaking from exhaust,began replacement of cylinder. replaced old cylinder with reference manual
105304,low compression 40 out of 80 on number 3 cylinder. air leaking from exhaust,chased threads on intake port to clean threads. installed
105305,number 4 intake gasket leaking.,replaced gasket.
105306,number 2 and number 4 intakes leaking.,removed and replaced intake gaskets.
105307,left-hand engine number 3 cylinder compression low.,"ran up engine, operations and leak check good."
105308,left-hand engine number 3 cylinder compression low.,removed number 3 cylinder baffling and connecting components and hardware
105309,number 3 intake leaking.,removed and replaced with new gasket.
105310,both baffle plugs damaged.,removed and replaced baffle plugs.
105311,"during flight, engine rpm was 2740 for 3 seconds.","removed sd card and complied with lycoming, overspeed considerations"
105312,low compression on number 3 cylinder.,"staked valve, compression came up to 72 out of 80."
105313,both baffle plugs damaged.,removed and replaced baffle plugs.
105314,large pool of oil under engine. oil has been added last 2 days,"ran aircraft, no leaks noted. observed aircraft for several hours"
105315,number 3 and 4 cylinder intake tube inserts in sump loose.,removed intake tubes.
105316,number 3 and 4 cylinder intake tube inserts in sump loose.,reswaged intake tube inserts.
105317,number 3 and 4 cylinder intake tube inserts in sump loose.,"installed number 3 and number 4 intake tubes with new gaskets. ran aircraft,"
105318,left-hand engine number 2 cylinder intake gasket leaking.,replaced gasket.
105319,reached 2720 rpm for about 2 seconds.,removed sd card and found max rpm to be less than 5 percent rate
105320,"after engine start, there was engine vibration. suspect cylinder",inspected and found number 4 piston smiled near exhaust valve.
105321,"after engine start, there was engine vibration. suspect cylinder","removed number 4 cylinder assembly, began installation of new cylinder number 4."
105322,"after engine start, there was engine vibration. suspect cylinder",cylinder installation done in accordance with lycoming overhaul manual. aircraft
105323,"after engine start, there was engine vibration. suspect cylinder",finished installation of cylinder. installed push rods and rocker
105324,number 4 rocker cover gasket is leaking.,removed and replaced gasket.
105325,number 3 intake gasket is leaking.,replaced gasket.
105326,all rocker cover gaskets leak.,removed and replaced all rocker cover gaskets.
105327,screw missing on number 2 rocker cover.,replaced with new screw.
105328,"during steep turns, engine began to struggle and coughed often",removed bottom plugs and number 4 cylinder top plug; bore scoped number 4
105329,"during steep turns, engine began to struggle and coughed often","bled lifter, reinstalled with new push rod seals. reinstalled"
105330,"during steep turns, engine began to struggle and coughed often","performed ground run, verified engine ran with a slight mixture"
105331,"during steep turns, engine began to struggle and coughed often","installed - 28 exhaust valve push rod, clearance checked good"
105332,"during steep turns, engine began to struggle and coughed often","finished reinstallation of plugs, leads and number 4 rocker cover"
105333,oil cooler clogged dirty between fins.,removed clog.
105334,during late takeoff roll and pattern; engine sounded like it wanted,"ran aircraft, confirmed discrepancy. performed compression check, fahrenheit"
105335,during late takeoff roll and pattern; engine sounded like it wanted,"removed baffling, number 2 intake, number 2 exhaust, number 2 injector line"
105336,oil temperature light inoperable.,reinstalled lamp in back of gauge. operations check good.
105337,left-hand engine data plate rivets missing.,installed new rivets.
105338,"in cruise, on way to practice area, engine rpm dropped","ran aircraft, all checks good."
105339,forward lower black seal has worn spots form intake filter bracket,applied black silicone to baffle seal.
105340,"numbers 2, 3 and 4 intake gaskets are leaking.",replaced gaskets.
105341,large puddle of liquid under engine.,"removed cowling. washed engine and cowls, ran aircraft found noted"
105342,"on start up, engine ran very rough. tried to increase power","performed ground run, verified discrepancy: ran rough in all"
105343,"on start up, engine ran very rough. tried to increase power","performed compression check, number 3 cylinder had 0 psi. reamed at accordance with reference manual"
105344,"after engine start up, noticed vibration and rough running engine","run up, leak check good."
105345,"after engine start up, noticed vibration and rough running engine",removed and replaced cylinder number 3 with new in accordance with lycoming overhaul
105346,"after engine start up, noticed vibration and rough running engine","performed ground run, engine ran rough. magneto switch selection"
105347,"after engine start up, noticed vibration and rough running engine",reamed number 1 and number 4 exhaust valve guides in accordance with lycoming
105348,"left, hand number 2 intake leaking.",replaced intake gasket.
105349,"right, hand number 2 intake leaking.",replaced intake gasket.
105350,number 3 intake tube gasket leaking.,installed new intake gasket.
105351,number 3 baffle bracket missing hardware.,reinstalled hardware.
105352,both baffle plugs damaged.,removed and replaced baffle plugs.
105353,top case bolt leaking.,"sealed bolt, leak check good."
105354,both baffle plugs damaged.,replaced with new baffle plugs.
105355,number 2 intake gasket leaks.,removed and replaced with new gasket.
105356,number 3 intake tube gasket leaking.,removed and replaced gasket.
105357,number 1 cylinder baffle is cracked.,fabricated patch with like material and riveted in accordance with reference manual
105358,oil cooler dirty.,cleaned cooler.
105359,"baffle seal loose, forward of number 1 cylinder.",reattached baffle.
105360,right-hand engine fire seal loose on bottom cowl.,resecured seal.
105361,"silicone needed on top of oil cooler, against cowl.",applied silicone.
105362,left-hand engine inboard intake screen panel chafing.,applied chafe tape to panel.
105363,cowling seal needs to be resecured lower aft.,resecured seal on left-hand lower aft cowling.
105364,"ground power check needed, left-hand and right-hand engines.","capped bleed, performed ground power performance check"
