ID,PROBLEM,ACTION,CLEANED,EDIT
105238,INNER BAFFLE TIE DISCONNECTED.,REATTACHED BAFFLE TIE.,INNER BAFFLE TIE DISCONNECTED. REATTACHED BAFFLE TIE.,
105239,#2 & 3 ROCKER COVERS LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER THREE ROCKER COVERS LEAKING. REMOVED AND REPLACED GASKETS.,
105240,#2 INTAKE LEAKING.,REPLACED GASKET.,NUMBER TWO INTAKE LEAKING. REPLACED GASKET.,
105241,R/H AFT BAFFLE BRACKET HAS BROKEN RIVETS.,REMOVED BAFFLE. REMOVED & REPLACED DAMAGED RIVETS. REIN,RIGHT-HAND AFT BAFFLE BRACKET HAS BROKEN RIVETS. REMOVED BAFFLE. REMOVED AND REPLACED DAMAGED RIVETS. REINSTALLED BAFFLE,CUTOFF - C
105242,#3 CYLINDER ROCKER COVER MISSING SCREW.,INSTALLED MISSING SCREW.,NUMBER THREE CYLINDER ROCKER COVER MISSING SCREW. INSTALLED MISSING SCREW.,
105243,ROUGH ENGINE,FOR BILLING PURPOSES ONLY,ROUGH ENGINE. FOR BILLING PURPOSES ONLY,
105244,ROUGH ENGINE,REMOVED ENG CYLINDER TOP & BOTTM SPARK PLUGS. CLEANED &,ROUGH ENGINE. REMOVED ENGINE CYLINDER TOP AND BOTTOM SPARK PLUGS. CLEANED,CUTOFF - T
105245,"#4 INTAKE LEAKING, L/H ENG.",REPLACED GASKET.,"NUMBER FOUR INTAKE LEAKING, LEFT-HAND ENGINE. REPLACED GASKET.",
105246,R/H ENGINE #2 CYLINDER INTAKE GASKET LEAKING.,INSTALLED NEW GASKET.,RIGHT-HAND ENGINE NUMBER TWO CYLINDER INTAKE GASKET LEAKING. INSTALLED NEW GASKET.,
105247,"AFTER START UP, ENGINE DIED.","RAN UP & WARMED UP ENGINE, NO DEFECTS NOTED. OPS CK'ED","AFTER START UP, ENGINE DIED. RAN UP AND WARMED UP ENGINE, NO DEFECTS NOTED. OPERATIONS CHECKED",
105248,R/H ENG BACKBONE BOLT LEAKS A LITTLE OIL.,LEAK CK GOOD.,RIGHT-HAND ENGINE BACKBONE BOLT LEAKS A LITTLE OIL. LEAK CHECK GOOD.,
105249,"R/H ENGINE #1, 2 INTAKES LEAKING.",REMOVED & REPLACED GASKETS.,"RIGHT-HAND ENGINE NUMBER ONE, AND NUMBER TWO INTAKES LEAKING. REMOVED AND REPLACED GASKETS.",
105250,R/H ENGINE #4 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.,RIGHT-HAND ENGINE NUMBER FOUR ROCKER COVER LEAKING. REMOVED AND REPLACED GASKET.,
105251,R/H ENG BACKBONE BOLT LEAKS A LITTLE OIL.,CLEANED OUT & INSTALLED SEALANT.,RIGHT-HAND ENGINE BACKBONE BOLT LEAKS A LITTLE OIL. CLEANED OUT AND INSTALLED SEALANT.,
105252,#3 CYLINDER HAS LOW COMPRESSION.,OIL HAS BEEN DRAINED.,NUMBER THREE CYLINDER HAS LOW COMPRESSION. OIL HAS BEEN DRAINED.,
105253,#3 CYLINDER HAS LOW COMPRESSION.,OPS & LEAK CK GOOD. REMOVED & REPLACED PUSH ROD. REMOVE,NUMBER THREE CYLINDER HAS LOW COMPRESSION. OPERATIONS AND LEAK CHECK GOOD. REMOVED AND REPLACED PUSH ROD.,CUTOFF - T
105254,#3 CYLINDER HAS LOW COMPRESSION.,REMOVED CYLINDER. TRANSFERRED INJECTOR & CHT PROBE TO O,NUMBER THREE CYLINDER HAS LOW COMPRESSION. REMOVED CYLINDER. TRANSFERRED INJECTOR AND CHT PROBE,CUTOFF - T
105255,ANY INCREASE IN THROTTLE WOULD CAUSE SPUTTER & DROP IN RPM.,PERFORMED GROUND RUN W/ ENGINE AT OPERATING TEMP. ALL E,ANY INCREASE IN THROTTLE WOULD CAUSE SPUTTER AND DROP IN RPM. PERFORMED GROUND RUN WITH ENGINE AT OPERATING TEMPERATURE.,CUTOFF - T
105256,#4 INTAKE GASKET LEAKS.,REMOVED & REPLACED GASKET.,NUMBER FOUR INTAKE GASKET LEAKS. REMOVED AND REPLACED GASKET.,
105257,#4 INTAKE GASKET LEAKING.,INSTALLED NEW GASKET.,NUMBER FOUR INTAKE GASKET LEAKING. INSTALLED NEW GASKET.,
105258,AFTER STORAGE RUN NEEDED.,"RAN A/C, ALL CHECKS GOOD.","AFTER STORAGE RUN NEEDED. RAN AIRCRAFT, ALL CHECKS GOOD.",
105259,#2 CYL COMPRESSION LOW.,RUN UP & LEAK CK GOOD.,NUMBER TWO CYLINDER COMPRESSION LOW. RUN UP AND LEAK CHECK GOOD.,
105260,"BAFFLE TIE ROD IN BETWEEN #1 & 3 CYL, NOT HOOOKED UP.",INSTALLED BAFFLE ROD.,"BAFFLE TIE ROD IN BETWEEN NUMBER ONE AND NUMBER THREE CYLINDER, NOT HOOKED UP. INSTALLED BAFFLE ROD.",
105261,#2 CYL COMPRESSION LOW.,REMOVED BAFFLING FOR #2 CYL & ATTACHING PARTS. REMOVED,NUMBER TWO CYLINDER COMPRESSION LOW. REMOVED BAFFLING FOR NUMBER TWO CYLINDER AND ATTACHING PARTS.,CUTOFF - T
105262,"R/H ENG, R/H AFT ENGINE BAFFLE CRACKED.",STOP DRILLED CRACK.,"RIGHT-HAND ENGINE, RIGHT-HAND AFT ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.",
105263,L/H ENG #3 & 4 INTAKE TUBE GASKETS LEAKING.,INSTALLED NEW GASKETS.,LEFT-HAND ENGINE NUMBER THREE AND NUMBER FOUR INTAKE TUBE GASKETS LEAKING. INSTALLED NEW GASKETS.,
105264,R/H ENG #3 INTAKE TUBE GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,RIGHT-HAND ENGINE NUMBER THREE INTAKE TUBE GASKET LEAKING. REMOVED AND REPLACED GASKET WITH NEW.,
105265,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED WITH NEW GASKET.,
105266,R/H ENG #1 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,RIGHT-HAND ENGINE NUMBER ONE INTAKE IS LEAKING. REMOVED AND REPLACED GASKET WITH NEW.,
105267,#3 & 4 L/H ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS W/ NEW.,NUMBER THREE AND NUMBER FOUR LEFT-HAND ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED GASKETS WITH NEW.,
105268,#2 CYL VALVE STICKING.,"RAN A/C, OPS & LEAK CK GOOD. COWLED A/C.","NUMBER TWO CYLINDER VALVE STICKING. RAN AIRCRAFT, OPERATIONS AND LEAK CHECK GOOD. COWLED AIRCRAFT.",
105269,#2 CYL VALVE STICKING.,REMOVED #2 CYL TOP PLUG & FOUND VALVE CONTACTED PISTON.,NUMBER TWO CYLINDER VALVE STICKING. REMOVED NUMBER TWO CYLINDER TOP PLUG AND FOUND VALVE CONTACTED PISTON.,
105270,#2 CYL VALVE STICKING.,"REMOVED #2 CYL BAFFLING, INTAKE, EXHAUST & OIL RETURN T","NUMBER TWO CYLINDER VALVE STICKING. REMOVED NUMBER TWO CYLINDER BAFFLING, INTAKE, EXHAUST AND OIL RETURN TUBE",CUTOFF - C
105271,"DURING CLIMB OUT, L/H ENGINE SHUTTERED 3 TIMES. EACH TIME RP","RAN A/C, COULD NOT DUPLICATE. ALL CHECKS GOOD.","DURING CLIMB OUT, LEFT-HAND ENGINE SHUTTERED THREE TIMES. RAN AIRCRAFT, COULD NOT DUPLICATE. ALL CHECKS GOOD.",CUTOFF - T
105272,#2 BAFFLE SEAL LOOSE.,REMOVED RIVET & REPLACED W/ SCREW & LOCK NUT.,NUMBER TWO BAFFLE SEAL LOOSE. REMOVED RIVET AND REPLACED WITH SCREW AND LOCK NUT.,
105273,BAFFLE PLUG IS BROKEN.,REMOVED & REPLACED BAFFLE PLUG.,BAFFLE PLUG IS BROKEN. REMOVED AND REPLACED BAFFLE PLUG.,
105274,BAFFLE SEAL ON #1 CYL NEEDS TO BE SECURED.,SECURED BAFFLE SEAL W/ NEW RIVETS.,BAFFLE SEAL ON NUMBER ONE CYLINDER NEEDS TO BE SECURED. SECURED BAFFLE SEAL WITH NEW RIVETS.,
105275,#3 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,NUMBER THREE INTAKE LEAKING. REMOVED AND REPLACED GASKET.,
105276,FWD BAFFLE CRACKED UNDER THE ALTERNATOR.,STOP DRILLED CRACK.,FORWARD BAFFLE CRACKED UNDER THE ALTERNATOR. STOP DRILLED CRACK.,
105277,R/H REAR ENGINE BAFFLE MOUNT LOOSE.,INSTALLED NEW SCREWS & NUT TO SECURE BAFFLE MOUNT.,RIGHT-HAND REAR ENGINE BAFFLE MOUNT LOOSE. INSTALLED NEW SCREWS AND NUT TO SECURE BAFFLE MOUNT.,
105278,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR INTAKE LEAKING. REMOVED AND REPLACED GASKET.,
105279,"WHEN CLIMBING, HEARD ENGINE W/ SOME NOISE. ENGINE MADE A THU","INSPECTED ENGINE, NO DEFECTS. RAN A/C, ALL SYSTEMS W/IN","WHEN CLIMBING, HEARD ENGINE WITH SOME NOISE. INSPECTED ENGINE, NO DEFECTS. RAN AIRCRAFT, ALL SYSTEMS WITHIN NORMAL PARAMETERS",CUTOFF - C
105280,R/H REAR ENGINE BAFFLE SCREW LOOSE.,TIGHTENED SCREW.,RIGHT-HAND REAR ENGINE BAFFLE SCREW LOOSE. TIGHTENED SCREW.,
105281,#2 INTAKE TUBE LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,NUMBER TWO INTAKE TUBE LEAKING. REMOVED AND REPLACED WITH NEW GASKET.,
105282,"AFTER ENGINE & ROTOR RUN UP, RPM DROPPED 250 & CONTINUED TO","COMPLETED ASSY OF ENGINE. RAN UP ENGINE, OPS & LEAK CK","AFTER ENGINE AND ROTOR RUN UP, RPM DROPPED TWO HUNDRED AND FIFTY. COMPLETED ASSEMBLY OF ENGINE. RAN UP ENGINE, OPERATIONS AND LEAK CHECK",CUTOFF - T
105283,"AFTER ENGINE & ROTOR RUN UP, RPM DROPPED 250 & CONTINUED TO","PERFORMED LYCOMING , FOUND #2, 4 EXHAUST VALVE G","AFTER ENGINE AND ROTOR RUN UP, RPM DROPPED TWENTY HUNDRED AND FIFTY. PERFORMED LYCOMING , FOUND NUMBER TWO, AND NUMBER FOUR EXHAUST VALVE GUIDES DAMAGED","CUTOFF - C, CUTOFF - T"
105284,"R/H ENGINE BAFFLE SEAL LOOSE, ABOVE #4 CYLINDER.",RESECURED BAFFLE SEAL.,"RIGHT-HAND ENGINE BAFFLE SEAL LOOSE, ABOVE NUMBER FOUR CYLINDER. RESECURED BAFFLE SEAL.",
105285,"L/H ENG, CYL #2 INTAKE GASKET IS LEAKING.",REMOVED & REPLACED GASKET W/ NEW.,"LEFT-HAND ENGINE, CYLINDER NUMBER TWO INTAKE GASKET IS LEAKING. REMOVED AND REPLACED GASKET WITH NEW.",
105286,#1 & 4 INTAKES LEAKING.,REPLACED GASKETS.,NUMBER ONE AND NUMBER FOUR INTAKES LEAKING. REPLACED GASKETS.,
105287,BLACK FWD LWR ENG SEAL WORN AT AIR INTAKE FILTER.,APPLIED RTV TO FWD LOWER BAFFLE SEAL.,BLACK FORWARD LOWER ENGINE SEAL WORN AT AIR INTAKE FILTER. APPLIED RTV TO FORWARD LOWER BAFFLE SEAL.,
105288,R/H ENG #1 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,RIGHT-HAND ENGINE NUMBER ONE INTAKE IS LEAKING. REMOVED AND REPLACED GASKET.,
105289,#4 INTAKE GASKET LEAKS.,REMOVED & REPLACED GASKET.,NUMBER FOUR INTAKE GASKET LEAKS. REMOVED AND REPLACED GASKET.,
105290,#3 INTAKE TUBE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.,NUMBER THREE INTAKE TUBE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET WITH NEW.,
105291,#4 CYL BAFFLE PLUG TABS BROKEN.,REMOVED & REPLACED PLUG.,NUMBER FOUR CYLINDER BAFFLE PLUG TABS BROKEN. REMOVED AND REPLACED PLUG.,
105292,BOTH BAFFLE PLUGS DAMAGED.,REMOVED & REPLACED PLUGS.,BOTH BAFFLE PLUGS DAMAGED. REMOVED AND REPLACED PLUGS.,
105293,A/C NEEDS AFTER STORAGE RUN.,"RAN A/C, ALL CHECKS GOOD.","AIRCRAFT NEEDS AFTER STORAGE RUN. RAN AIRCRAFT, ALL CHECKS GOOD.",
105294,A/C AFTER STORAGE RUN NEEDED.,"RAN A/C, ALL CHECKS GOOD.","AIRCRAFT AFTER STORAGE RUN NEEDED. RAN AIRCRAFT, ALL CHECKS GOOD.",
105295,"DURING FLIGHT, HIGH OIL PSI OCCURRED. WHEN EXERCISE PROP, OI","RAN A/C, OPS CK GOOD.","DURING FLIGHT, HIGH OIL PSI OCCURRED. RAN AIRCRAFT, OPERATIONS CHECK GOOD.",CUTOFF - T
105296,R/H ENG #4 AFT BAFFLE SEAL LOOSE.,INSTALLED WASHER & RIVET.,RIGHT-HAND ENGINE NUMBER FOUR AFT BAFFLE SEAL LOOSE. INSTALLED WASHER AND RIVET.,
105297,R/H ENG #1 SIDE BAFFLE SEAL WORN.,REMOVED & REPLACED BAFFLE SEAL W/ NEW.,RIGHT-HAND ENGINE NUMBER ONE SIDE BAFFLE SEAL WORN. REMOVED AND REPLACED BAFFLE SEAL WITH NEW.,
105298,BAFFLE PLUGS WORN.,REMOVED & REPLACED PLUGS.,BAFFLE PLUGS WORN. REMOVED AND REPLACED PLUGS.,
105299,ALTERNATE AIR DOOR SPRING IS WEAK.,REPLACED AIR INTAKE ASSY.,ALTERNATE AIR DOOR SPRING IS WEAK. REPLACED AIR INTAKE ASSEMBLY.,
105300,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER THREE ROCKER COVER LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
105301,BAFFLE PLUGS WORN.,REMOVED & REPLACED BOTH BAFFLE PLUGS.,BAFFLE PLUGS WORN. REMOVED AND REPLACED BOTH BAFFLE PLUGS.,
105302,"#4 INTAKE LEAKING, R/H ENG.",REPLACED GASKET.,"NUMBER FOUR INTAKE LEAKING, RIGHT-HAND ENGINE. REPLACED GASKET.",
105303,LOW COMPRESSION (40/80) ON #3 CYLINDER. AIR LEAKING FROM EXH,BEGAN REPLACEMENT OF CYLINDER. REPLACED OLD CYLINDER W/,"LOW COMPRESSION, FORTY OUT OF EIGHTY, ON NUMBER THREE CYLINDER. AIR LEAKING FROM EXHAUST VALVE. BEGAN REPLACEMENT OF CYLINDER. REPLACED OLD CYLINDER WITH NEW","CUTOFF - C, PUNC - B"
105304,LOW COMPRESSION (40/80) ON #3 CYLINDER. AIR LEAKING FROM EXH,CHASED THREADS ON INTAKE PORT TO CLEAN THREADS. INSTALL,"LOW COMPRESSION, FORTY OUT OF EIGHTY, ON NUMBER THREE CYLINDER. AIR LEAKING FROM EXHAUST VALVE. CHASED THREADS ON INTAKE PORT TO CLEAN THREADS. INSTALLED NEW CYLINDER","CUTOFF - C, PUNC - B"
105305,#4 INTAKE GASKET LEAKING.,REPLACED GASKET.,NUMBER FOUR INTAKE GASKET LEAKING. REPLACED GASKET.,
105306,#2 & 4 INTAKES LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,NUMBER TWO AND NUMBER FOUR INTAKES LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
105307,L/H ENG #3 CYL COMPRESSION LOW.,"RAN UP ENGINE, OPS & LEAK CK GOOD.","LEFT-HAND ENGINE NUMBER THREE CYLINDER COMPRESSION LOW. RAN UP ENGINE, OPERATIONS AND LEAK CHECK GOOD.",
105308,L/H ENG #3 CYL COMPRESSION LOW.,REMOVED #3 CYL BAFFLING & CONNECTING COMPONENTS AND HAR,LEFT-HAND ENGINE NUMBER THREE CYLINDER COMPRESSION LOW. REMOVED NUMBER THREE CYLINDER BAFFLING AND CONNECTING COMPONENTS AND HARDWARE,CUTOFF - C
105309,#3 INTAKE LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,NUMBER THREE INTAKE LEAKING. REMOVED AND REPLACED WITH NEW GASKET.,
105310,BOTH BAFFLE PLUGS DAMAGED.,REMOVED & REPLACED BAFFLE PLUGS.,BOTH BAFFLE PLUGS DAMAGED. REMOVED AND REPLACED BAFFLE PLUGS.,
105311,"DURING FLIGHT, ENGINE RPM WAS 2740 FOR 3 SECONDS.","REMOVED SD CARD & C/W LYCOMING , OVERSPEED CONSI","DURING FLIGHT, ENGINE RPM WAS TWENTY SEVEN HUNDRED AND FORTY FOR THREE SECONDS. REMOVED SD CARD AND COMPLIED WITH LYCOMING",CUTOFF - T
105312,LOW COMPRESSION ON #3 CYLINDER.,"STAKED VALVE, COMPRESSION CAME UP TO 72/80.","LOW COMPRESSION ON NUMBER THREE CYLINDER. STAKED VALVE, COMPRESSION CAME UP TO SEVENTY TWO OUT OF EIGHTY.",
105313,BOTH BAFFLE PLUGS DAMAGED.,REMOVED & REPLACED BAFFLE PLUGS.,BOTH BAFFLE PLUGS DAMAGED. REMOVED AND REPLACED BAFFLE PLUGS.,
105314,LARGE POOL OF OIL UNDER ENGINE. OIL HAS BEEN ADDED LAST 2 DA,"RAN A/C, NO LEAKS NOTED. OBSERVED A/C FOR SEVERAL HOURS","LARGE POOL OF OIL UNDER ENGINE. OIL HAS BEEN ADDED LAST TWO DAYS. RAN AIRCRAFT, NO LEAKS NOTED. OBSERVED AIRCRAFT FOR SEVERAL HOURS",CUTOFF - C
105315,#3 & 4 CYLINDER INTAKE TUBE INSERTS IN SUMP LOOSE.,REMOVED INTAKE TUBES.,NUMBER THREE AND NUMBER FOUR CYLINDER INTAKE TUBE INSERTS IN SUMP LOOSE. REMOVED INTAKE TUBES.,
105316,#3 & 4 CYLINDER INTAKE TUBE INSERTS IN SUMP LOOSE.,RESWAGED INTAKE TUBE INSERTS.,NUMBER THREE AND NUMBER FOUR CYLINDER INTAKE TUBE INSERTS IN SUMP LOOSE. RESWAGED INTAKE TUBE INSERTS.,
105317,#3 & 4 CYLINDER INTAKE TUBE INSERTS IN SUMP LOOSE.,"INSTALLED #3 & 4 INTAKE TUBES W/ NEW GASKETS. RAN A/C,","NUMBER THREE AND NUMBER FOUR CYLINDER INTAKE TUBE INSERTS IN SUMP LOOSE. INSTALLED NUMBER THREE AND NUMBER FOUR INTAKE TUBES WITH NEW GASKETS. RAN AIRCRAFT,",
105318,L/H ENG #2 CYL INTAKE GASKET LEAKING.,REPLACED GASKET.,LEFT-HAND ENGINE NUMBER TWO CYLINDER INTAKE GASKET LEAKING. REPLACED GASKET.,
105319,REACHED 2720 RPM FOR ABOUT 2 SECONDS.,REMOVED SD CARD & FOUND MAX RPM TO BE LESS THAN 5% RATE,REACHED TWENTY SEVEN HUNDRED AND TWENTY RPM FOR ABOUT TWO SECONDS. REMOVED SD CARD AND FOUND MAX RPM TO BE LESS THAN FIVE PERCENT RATE,
105320,"AFTER ENGINE START, THERE WAS ENGINE VIBRATION. SUSPECT CYL",INSPECTED & FOUND #4 PISTON SMILED NEAR EXHAUST VALVE.,"AFTER ENGINE START, THERE WAS ENGINE VIBRATION. SUSPECT CYLINDER DAMAGE. INSPECTED AND FOUND NUMBER FOUR PISTON SMILED NEAR EXHAUST VALVE.",CUTOFF - C
105321,"AFTER ENGINE START, THERE WAS ENGINE VIBRATION. SUSPECT CYL","REMOVED #4 CYL ASSY, BEGAN INSTALLATION OF NEW CYL #4.","AFTER ENGINE START, THERE WAS ENGINE VIBRATION. SUSPECT CYLINDER DAMAGE. REMOVED NUMBER FOUR CYLINDER ASSEMBLY, BEGAN INSTALLATION OF NEW CYLINDER NUMBER FOUR.",CUTOFF - C
105322,"AFTER ENGINE START, THERE WAS ENGINE VIBRATION. SUSPECT CYL",CYL INSTALLATION DONE IAW LYCOMING OVERHAUL MANUAL. A/C,"AFTER ENGINE START, THERE WAS ENGINE VIBRATION. SUSPECT CYLINDER DAMAGE. CYLINDER INSTALLATION DONE IN ACCORDANCE WITH LYCOMING OVERHAUL MANUAL.","CUTOFF - C, CUTOFF - T"
105323,"AFTER ENGINE START, THERE WAS ENGINE VIBRATION. SUSPECT CYL",FINISHED INSTALLATION OF CYL. INSTALLED PUSH RODS & ROC,"AFTER ENGINE START, THERE WAS ENGINE VIBRATION. SUSPECT CYLINDER DAMAGE. FINISHED INSTALLATION OF CYLINDER. INSTALLED PUSH RODS AND ROCKER COVERS",CUTOFF - C
105324,#4 ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR ROCKER COVER GASKET IS LEAKING. REMOVED AND REPLACED GASKET.,
105325,#3 INTAKE GASKET IS LEAKING.,REPLACED GASKET.,NUMBER THREE INTAKE GASKET IS LEAKING. REPLACED GASKET.,
105326,ALL ROCKER COVER GASKETS LEAK.,REMOVED & REPLACED ALL ROCKER COVER GASKETS.,ALL ROCKER COVER GASKETS LEAK. REMOVED AND REPLACED ALL ROCKER COVER GASKETS.,
105327,SCREW MISSING ON #2 ROCKER COVER.,REPLACED W/ NEW SCREW.,SCREW MISSING ON NUMBER TWO ROCKER COVER. REPLACED WITH NEW SCREW.,
105328,"DURING STEEP TURNS, ENGINE BEGAN TO STRUGGLE & COUGHED OFTEN",REMOVED BOTTOM PLUGS & #4 CYL TOP PLUG; BORE SCOPED #4,"DURING STEEP TURNS, ENGINE BEGAN TO STRUGGLE AND COUGHED OFTEN. REMOVED BOTTOM PLUGS AND NUMBER FOUR CYLINDER TOP PLUG; BORE SCOPED NUMBER FOUR",
105329,"DURING STEEP TURNS, ENGINE BEGAN TO STRUGGLE & COUGHED OFTEN","BLED LIFTER, REINSTALLED W/ NEW PUSH ROD SEALS. REINSTA","DURING STEEP TURNS, ENGINE BEGAN TO STRUGGLE AND COUGHED OFTEN. BLED LIFTER, REINSTALLED WITH NEW PUSH ROD SEALS.",CUTOFF - T
105330,"DURING STEEP TURNS, ENGINE BEGAN TO STRUGGLE & COUGHED OFTEN","PERFORMED GROUND RUN, VERIFIED ENGINE RAN W/ A SLIGHT M","DURING STEEP TURNS, ENGINE BEGAN TO STRUGGLE AND COUGHED OFTEN. PERFORMED GROUND RUN, VERIFIED ENGINE RAN WITH A SLIGHT MISADJUSTED MIXTURE",CUTOFF - C
105331,"DURING STEEP TURNS, ENGINE BEGAN TO STRUGGLE & COUGHED OFTEN","INSTALLED -28 EXHAUST VALVE PUSH ROD, CLEARANCE CK'ED G","DURING STEEP TURNS, ENGINE BEGAN TO STRUGGLE AND COUGHED OFTEN. INSTALLED DASH TWENTY EIGHT EXHAUST VALVE PUSH ROD, CLEARANCE CHECKED GOOD",CUTOFF - C
105332,"DURING STEEP TURNS, ENGINE BEGAN TO STRUGGLE & COUGHED OFTEN","FINISHED REINSTALLATION OF PLUGS, LEADS & #4 ROCKER COV","DURING STEEP TURNS, ENGINE BEGAN TO STRUGGLE AND COUGHED OFTEN. FINISHED REINSTALLATION OF PLUGS, LEADS AND NUMBER FOUR ROCKER COVER",CUTOFF - C
105333,OIL COOLER CLOGGED (DIRTY BETWEEN FINS).,REMOVED CLOG.,"OIL COOLER CLOGGED, DIRTY BETWEEN FINS. REMOVED CLOG.",PUNC - B
105334,DURING LATE TAKEOFF ROLL & PATTERN; ENGINE SOUNDED LIKE IT W,"RAN A/C, CONFIRMED DISCREP. PERFORMED COMPRESSION CK, F","DURING LATE TAKEOFF ROLL AND PATTERN; ENGINE SOUNDED LIKE IT WANTED TO DIE. RAN AIRCRAFT, CONFIRMED DISCREPANCY. PERFORMED COMPRESSION CHECK","CUTOFF - C, CUTOFF - T"
105335,DURING LATE TAKEOFF ROLL & PATTERN; ENGINE SOUNDED LIKE IT W,"REMOVED BAFFLING, #2 INTAKE, #2 EXHAUST, #2 INJECTOR LI","DURING LATE TAKEOFF ROLL AND PATTERN; ENGINE SOUNDED LIKE IT WANTED TO DIE. REMOVED BAFFLING, NUMBER TWO INTAKE, NUMBER TWO EXHAUST, NUMBER TWO INJECTOR LIFTER",CUTOFF - C
105336,OIL TEMP LIGHT INOP.,REINSTALLED LAMP IN BACK OF GAUGE. OPS CK GOOD.,OIL TEMPERATURE LIGHT INOPERABLE. REINSTALLED LAMP IN BACK OF GAUGE. OPERATIONS CHECK GOOD.,
105337,L/H ENGINE DATA PLATE RIVETS MISSING.,INSTALLED NEW RIVETS.,LEFT-HAND ENGINE DATA PLATE RIVETS MISSING. INSTALLED NEW RIVETS.,
105338,"IN CRUISE, ON WAY TO PRACTICE AREA, ENGINE RPM DROPPED & THE","RAN A/C, ALL CHECKS GOOD.","IN CRUISE, ON WAY TO PRACTICE AREA, ENGINE RPM DROPPED. RAN AIRCRAFT, ALL CHECKS GOOD.",CUTOFF - T
105339,FWD LWR BLACK SEAL HAS WORN SPOTS FORM INTAKE FILTER BRACKET,APPLIED BLACK SILICONE TO BAFFLE SEAL.,FORWARD LOWER BLACK SEAL HAS WORN SPOTS FORM INTAKE FILTER BRACKET. APPLIED BLACK SILICONE TO BAFFLE SEAL.,
105340,"#2, 3 & 4 INTAKE GASKETS ARE LEAKING.",REPLACED GASKETS.,"NUMBERS TWO, THREE AND FOUR INTAKE GASKETS ARE LEAKING. REPLACED GASKETS.",
105341,LARGE PUDDLE OF LIQUID UNDER ENGINE.,"REMOVED COWLING. WASHED ENGINE & COWLS, RAN A/C FOUND N","LARGE PUDDLE OF LIQUID UNDER ENGINE. REMOVED COWLING. WASHED ENGINE AND COWLS, RAN AIRCRAFT",CUTOFF - T
105342,"ON START UP, ENGINE RAN VERY ROUGH. TRIED TO INCREASE POWER","PERFORMED GROUND RUN, VERIFIED DISCREP: RAN ROUGH IN AL","ON START UP, ENGINE RAN VERY ROUGH. TRIED TO INCREASE POWER. PERFORMED GROUND RUN, VERIFIED DISCREPANCY: RAN ROUGH IN ALL",CUTOFF - C
105343,"ON START UP, ENGINE RAN VERY ROUGH. TRIED TO INCREASE POWER",PERFORMED COMPRESSION CK: #3 CYL HAD ZERO PSI. REAMED A,"ON START UP, ENGINE RAN VERY ROUGH. TRIED TO INCREASE POWER. PERFORMED COMPRESSION CHECK: NUMBER THREE CYLINDER HAD ZERO PSI.",CUTOFF - T
105344,"AFTER ENGINE START UP, NOTICED VIBRATION & ROUGH RUNNING ENG","RUN UP, LEAK CK GOOD.","AFTER ENGINE START UP, NOTICED VIBRATION AND ROUGH RUNNING ENGINE. RUN UP, LEAK CHECK GOOD.",
105345,"AFTER ENGINE START UP, NOTICED VIBRATION & ROUGH RUNNING ENG",REMOVED & REPLACED CYL #3 W/ NEW IAW LYCOMING OVERHAUL,"AFTER ENGINE START UP, NOTICED VIBRATION AND ROUGH RUNNING ENGINE. REMOVED AND REPLACED CYLINDER NUMBER THREE WITH NEW IN ACCORDANCE WITH LYCOMING OVERHAUL MANUAL",CUTOFF - C
105346,"AFTER ENGINE START UP, NOTICED VIBRATION & ROUGH RUNNING ENG","PERFORMED GROUND RUN, ENGINE RAN ROUGH. MAG SWITCH SELE","AFTER ENGINE START UP, NOTICED VIBRATION AND ROUGH RUNNING ENGINE. PERFORMED GROUND RUN, ENGINE RAN ROUGH.",CUTOFF - T
